FromY,ToY,MeanY,ClassName,ClassValue,DEL,DES,Ellenallas10,Ellenallas40,Gamma,Laterolog,Magneses,Neutron,Nyiro,Primer,Tavolsag,TermPot
639.93,641.81,-640.87,agyagkő,6,2.5899701,2.5699599,22.9300003,89.4199982,22.8899994,165.1699982,-2.83251,27.6900005,3044.139893,5102.450195,-640.9,-424
641.81,641.89,-641.85,breccsa,5,2.5899999,2.5799999,21.4001007,82.0904999,19.5400009,156.3309937,-2.8275399,30.7299995,2972.870117,4932.569824,-641.8,-424.9989929
641.89,642.19,-642.04,agyagkő,6,2.54,2.5599999,21.0100994,79.0007019,20.6100006,154.4299927,-2.8236699,29.3600006,3016.590088,4975.049805,-642,-426.9989929
642.19,642.6,-642.395,agyagkő,6,2.51001,2.57002,19.9799995,75.0199966,23.5,147.0399933,-2.8381,28.9400005,2979.52002,4948.189941,-642.4,-432
642.6,643.22,-642.91,agyagkő,6,2.53,2.6199801,18.3400002,67.2799988,25.6700001,137.5099945,-2.8482699,32.2299995,2855.100098,4841.290039,-642.9,-429
643.22,643.8,-643.51,agyagkő,6,2.47,2.5599999,16.5102005,60.2405014,25.9099998,127.0500031,-2.8692501,39.9099998,2606.709961,4509.919922,-643.5,-429.9989929
643.8,644.1,-643.95,agyagkő,6,2.45999,2.52999,15.8400002,58.1399994,26.6700001,122.0999985,-2.85131,42.4799995,2564.100098,4515.569824,-643.9,-432
644.1,644.13,-644.115,agyagkő,6,2.4200001,2.5599999,15.6700001,57.2400017,26.25,120.2409973,-2.8613901,41.8199997,2601.629883,4579.560059,-644.1,-436
644.13,644.29,-644.21,agyagkő,6,2.4000101,2.52002,15.5799999,56.9500008,24.8700008,119.3399963,-2.8659699,41.9700012,2622.090088,4617.5,-644.2,-434
644.29,644.51,-644.4,agyagkő,6,2.4500101,2.5599799,15.46,56.5400009,24.8899994,118.3399963,-2.8682201,42.6500015,2542.100098,4513.479981,-644.4,-431
644.51,644.57,-644.54,agyagkő,6,2.4400001,2.48,15.3800001,56.7998009,26.4899998,117.9300003,-2.8555501,42.0600014,2542.100098,4377.040039,-644.5,-431
644.57,644.59,-644.58,agyagkő,6,2.4100001,2.47,15.25,57.1800003,26.4899998,117.7600021,-2.86373,42.5999985,2506.27002,4250.169922,-644.6,-432
644.59,644.74,-644.665,agyagkő,6,2.4000101,2.4100399,15.2300005,57.4300003,25.0900002,117.5100021,-2.85798,40.3600006,2496.879883,4203.540039,-644.7,-431
644.74,644.77,-644.755,agyagkő,6,2.3800001,2.3900001,15.3100004,57.6498985,23.8899994,117.4499969,-2.8520701,40.4099998,2494.540039,4284.189941,-644.8,-429.0010071
644.77,645.42,-645.095,agyagkő,6,2.3699999,2.3599999,15.6899996,59.3699989,25.4300003,118.6299973,-2.8635499,39.1800003,2482.929932,4644.569824,-645.1,-428
645.42,645.49,-645.455,agyagkő,6,2.3900001,2.4100001,16.3398991,62.2795982,28.6299992,120.2600021,-2.86536,41.5400009,2508.620117,4444.819824,-645.5,-429
645.49,645.69,-645.59,agyagkő,6,2.4100001,2.46,16.5200005,63.0699997,28,120.4499969,-2.8608501,39.9000015,2576.48999,4439.970215,-645.6,-430
645.69,645.72,-645.705,agyagkő,6,2.4000101,2.5199599,16.6900005,63.9199982,27.1900005,121.1999969,-2.8652401,39.6300011,2576.48999,4507.660156,-645.7,-432
645.72,646.64,-646.18,agyagkő,6,2.44998,2.4800301,17.6100006,68.1900024,25.6100006,124.8700027,-2.8576901,37.4799995,2746.310059,4577.689941,-646.2,-426
646.64,646.75,-646.695,agyagkő,6,2.4300101,2.49998,18.3600006,71.0500031,26.3999996,128.1600037,-2.8510799,36.2700005,2737.850098,4713.910156,-646.7,-421
646.75,646.79,-646.77,agyagkő,6,2.47,2.51,18.4899006,71.6796036,26.6900005,129.1889954,-2.8424399,37.3800011,2715.550049,4729.950195,-646.8,-421.9989929
646.79,646.8,-646.795,agyagkő,6,2.47,2.51,18.4899006,71.6796036,26.6900005,129.1889954,-2.8424399,37.3800011,2715.550049,4729.950195,-646.8,-421.9989929
646.8,647,-646.9,breccsa,5,2.4600101,2.5399799,18.6100006,72.1999969,28.1299992,130.1399994,-2.84376,36.8100014,2715.550049,4717.02002,-646.9,-423
647,647.1,-647.05,agyagkő,6,2.48,2.54,18.7098999,72.7097015,25.6599998,131.5899963,-2.8403201,36.5299988,2669.340088,4699.509766,-647,-423
647.1,647.18,-647.14,breccsa,5,2.46,2.51,18.7999992,73.2099991,23.5100002,132.2799988,-2.8358901,37.5999985,2710.030029,4657.439941,-647.1,-424
647.18,647.3,-647.24,breccsa,5,2.4500101,2.51,18.8999996,73.7600021,22.6200008,133.2799988,-2.8419199,37.2200012,2757.669922,4640.629883,-647.2,-423
647.3,647.51,-647.405,agyagkő,6,2.45,2.48999,19.1100006,75.1399994,21.8700008,135.5399933,-2.8185401,36.4700012,2766.25,4691.359863,-647.4,-426
647.51,647.73,-647.62,breccsa,5,2.4400001,2.48,19.3299999,76.1600037,22.0599995,138.6690063,-2.8338001,34.9700012,2774.889893,4751.939941,-647.6,-428
647.73,649.75,-648.74,agyagkő,6,2.4500101,2.4999599,21.5100002,85.4899979,22.6700001,151.5500031,-2.79162,28.1200008,2864.300049,4992.720215,-648.7,-423
649.75,650.22,-649.985,agyagkő,6,2.51,2.49,21.9801006,85.0906982,22.7999992,158.0599976,-2.8213201,25.6299992,3082.850098,5179.109863,-650,-422.0010071
650.22,650.28,-650.25,agyagkő,6,2.47,2.53002,21.7399998,83.2699966,22.9799995,158.3099976,-2.8419199,27.1800003,3016.590088,5026.180176,-650.2,-421
650.28,650.3,-650.29,agyagkő,6,2.47,2.46,21.2803001,82.6103973,22.8999996,158.3899994,-2.83656,27.5900002,2959.669922,4893.419922,-650.3,-422.9989929
650.3,650.38,-650.34,agyagkő,6,2.47,2.46,21.2803001,82.6103973,22.8999996,158.3899994,-2.83656,27.5900002,2959.669922,4893.419922,-650.3,-422.9989929
